"Product/Service Name","Variant Name","Quantity on hand","Item type","Single,parent or variant?","Category","SKU","Taxable","Option 1 name","Option 1 value","Option 2 name","Option 2 value","Option 3 name","Option 3 value","Option 4 name","Option 4 value","Option 5 name","Option 5 value","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"""1"""" LEAD FREE RPZ WITHOUT Y-STRAINER"", L580-210-3114","""1"""" LEAD FREE RPZ WITHOUT Y-STRAINER"", L580-210-3114",0,"Non-Inventory","Single",,"L580-210-3114","No","","","","","","","","","","",1230.5,984.4,"Services","Purchases","","1"" LEAD FREE RPZ, WITHOUT Y-STRAINER, HTC: 8481.80.9015","1"" LEAD FREE RPZ, WITHOUT Y-STRAINER, HTC: 8481.80.9015",
"""PWC 1"""" PRESSURE REDUCING VALVE"", L580-210-3116","""PWC 1"""" PRESSURE REDUCING VALVE"", L580-210-3116",0,"Non-Inventory","Single",,"L580-210-3116","No","","","","","","","","","","",472.71,378.17,"Services","Purchases","","PWC REGULATOR VALVE, HTC: 8481.10.0060","PWC REGULATOR VALVE, HTC: 8481.10.0060",
"""PWC 1"""" REDUCED BACKFLOW PREVENTER"", L580-213-3317","""PWC 1"""" REDUCED BACKFLOW PREVENTER"", L580-213-3317",0,"Non-Inventory","Single",,"L580-213-3317","No","","","","","","","","","","",1429.51,1143.61,"Services","Purchases","","1"" LEAD FREE RPZ, BFP WITH Y-STRAINER 4ALF-215-A2F, APOLLO / CONBRACO","1"" LEAD FREE RPZ, BFP WITH Y-STRAINER 4ALF-215-A2F, APOLLO / CONBRACO",
"""PWC 3/4"""" X 250' BLUE PWC HOSE"", L580-212-3217","""PWC 3/4"""" X 250' BLUE PWC HOSE"", L580-212-3217",0,"Non-Inventory","Single",,"L580-212-3217","No","","","","","","","","","","",655.84,524.67,"Services","Purchases","","PWC-60C-BLUE-250, POTABLE WATER HOSE, BLUE COVER, 3/4"" ID X 250'","PWC-60C-BLUE-250, POTABLE WATER HOSE, BLUE COVER, 3/4"" ID X 250'",
"""PWC SS FLEX CONNECTOR 1""""X8"""" LENGTH"", L580-099-0016","""PWC SS FLEX CONNECTOR 1""""X8"""" LENGTH"", L580-099-0016",0,"Non-Inventory","Single",,"L580-099-0016","No","","","","","","","","","","",91.39,73.11,"Services","Purchases","","1"" X 8"" WITH SS MALE EACH END, HTC: 8487.90.0080","1"" X 8"" WITH SS MALE EACH END, HTC: 8487.90.0080",
"#40 Single Strand Roller Chain SS","#40 Single Strand Roller Chain SS",0,"Non-Inventory","Single","Chain","M133N","No","","","","","","","","","","",1.56583,15.07,"Services","Purchases","","1/2"" Pitch, Single Strand
Customer item: M133N","1/2"" Pitch, Single Strand
Customer item: M133N",
"#50 Single Roller Chain SS","#50 Single Roller Chain SS",0,"Non-Inventory","Single","Chain","M880N","No","","","","","","","","","","",2.9575,20.5,"Services","Purchases","","5/8"" Pitch, Single Strand
Customer: M880N","5/8"" Pitch, Single Strand
5/8"" Pitch, Single Strand
Customer: M880N",
"0.125 to 0.375″ Liquidtight Straight Strain Relief Cord Grip","0.125 to 0.375″ Liquidtight Straight Strain Relief Cord Grip",0,"Non-Inventory","Single",,"W-4","Yes","","","","","","","","","","",5,,"Sales","Cost of goods sold","","0.125 to 0.375″ Liquidtight Straight Strain Relief Cord Grip","0.125 to 0.375″ Liquidtight Straight Strain Relief Cord Grip",
"0.125 to 0.375″ Liquidtight Straight Strain Relief Cord Grip 1/2 NPT, 2-1/8″ OAL, Nylon","0.125 to 0.375″ Liquidtight Straight Strain Relief Cord Grip 1/2 NPT, 2-1/8″ OAL, Nylon",0,"Non-Inventory","Single",,"F4S000002","Yes","","","","","","","","","","",16.99,,"Sales","Cost of goods sold","","0.125 to 0.375″ Liquidtight Straight Strain Relief Cord Grip 1/2 NPT, 2-1/8″ OAL, Nylon","0.125 to 0.375″ Liquidtight Straight Strain Relief Cord Grip 1/2 NPT, 2-1/8″ OAL, Nylon",
"0.31 to 0.56″ Liquidtight Straight Strain Relief Cord Grip 1/2 NPT, 2-1/8″ OAL, Nylon","0.31 to 0.56″ Liquidtight Straight Strain Relief Cord Grip 1/2 NPT, 2-1/8″ OAL, Nylon",0,"Non-Inventory","Single",,"F4S000001","Yes","","","","","","","","","","",14.99,,"Sales of Product Income","Cost of goods sold","","Specifications:


 

 

 ","Specifications:


 

 

 ",
"05020 DL093X10FT-W, J105973104","05020 DL093X10FT-W, J105973104",0,"Non-Inventory","Single",,"J105973104","No","","","","","","","","","","",66.65,55.54,"Services","Purchases","","10FT LEADER","10FT LEADER",
"10"" Drive Roll, Eaa Covered, 2.0m","10"" Drive Roll, Eaa Covered, 2.0m",0,"Non-Inventory","Single",,"2310455","No","","","","","","","","","","",5860,5860,"Services","Purchases","","2310455","2310455",
"18-8 Stainless Steel Flex-Top Locknut for Heavy Vibration 10-32 Thread Size","18-8 Stainless Steel Flex-Top Locknut for Heavy Vibration 10-32 Thread Size",0,"Non-Inventory","Single",,"F4S001001","Yes","","","","","","","","","","",129.9,,"Sales","Cost of goods sold","","18-8 Stainless Steel Flex-Top Locknut for Heavy Vibration 10-32 Thread Size","18-8 Stainless Steel Flex-Top Locknut for Heavy Vibration 10-32 Thread Size",
"18-8 Stainless Steel, Flex-Top Locknut","18-8 Stainless Steel, Flex-Top Locknut",0,"Non-Inventory","Single","Hex Nut","F4S001002","No","","","","","","","","","","",1.14,,"Clearly Better Business Checking (7248) - 1","","","10-32, ¼ inch, 3/8 width
Customer item: M3853",,
"18-8 Stainless Steet Thin Hex Locknut","18-8 Stainless Steet Thin Hex Locknut",0,"Non-Inventory","Single","Hex Nut","F4S001000","No","","","","","","","","","","",14.99,,"Sales of Product Income","","","1/2 inch - 20 
Customer Item # M16670",,
"1⁄4"" TURN STS ENCLOSURE LATCH","1⁄4"" TURN STS ENCLOSURE LATCH",0,"Service","Single","Latch Locks","FC - 080 -1001 SS","No","","","","","","","","","","",16,,"Services","","","Full Stainless Steel",,
"2 Bolt Flange With Nickle Plated Housing AMI UCFT 207-20NP","2 Bolt Flange With Nickle Plated Housing AMI UCFT 207-20NP",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",,,"Services","Purchases","","Equal to L/B FX3U220NK75","Equal to L/B FX3U220NK75",
"23136EMW33 TImken","23136EMW33 TImken",0,"Service","Single",,,"Yes","","","","","","","","","","",2575.31,1931.48,"Services","Purchases","",,,
"24 Pack LED Light Bulbs, 100 Watt Equivalent A19","24 Pack LED Light Bulbs, 100 Watt Equivalent A19",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",,,"Services","","","5000K Daylight LED Bulb, 15W Bright White Energy Saving Lightbulbs with E26 Standard Base",,
"3HP BALDOR 3450RPM","3HP BALDOR 3450RPM",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",,1375,"Services","Purchases","","182T TEFC 3PH SUPER-E EPOXY WASHDOWN MOTOR","182T TEFC 3PH SUPER-E EPOXY WASHDOWN MOTOR",
"415138 Timken","415138 Timken",0,"Service","Single",,,"Yes","","","","","","","","","","",40.73,54.31,"Services","Purchases","",,,
"416239","416239",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",142.16,106.62,"Services","Purchases","",,,
"455966","455966",0,"Service","Single",,,"Yes","","","","","","","","","","",391.24,293.43,"Services","Purchases","",,,
"455966 Timken","455966 Timken",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",391.24,293.43,"Services","Purchases","",,,
"460-B07-000","460-B07-000",0,"Non-Inventory","Single",,"800005","No","","","","","","","","","","",41.87,20,"Services","Purchases","","Guide Wheel Assy","Guide Wheel Assy",
"82576 Timken","82576 Timken",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",925.61,694.21,"Services","Purchases","",,,
"82950 Timken","82950 Timken",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",568.49,426.37,"Services","Purchases","",,,
